source	native	name	p_value	significant	term_size	query_size	intersection_size	intersections
KEGG	KEGG:03265	Virion - Ebolavirus and Lyssavirus	0.029685465698939817	True	6	3	1	['ENSG00000154654']
KEGG	KEGG:05165	Human papillomavirus infection	0.030862848689409472	True	330	3	2	['ENSG00000142156', 'ENSG00000183486']
