"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000160183",653.230813888084,1.25943676570945,0.101287101281633,12.4343252968366,1.70171556115588e-35,2.28029885194888e-33
"ENSG00000157557",7055.64666652291,0.671330161938714,0.0593202001360029,11.3170582769371,1.08036626734439e-29,7.23845399120742e-28
"ENSG00000142156",167.95487367079,1.75949135610399,0.180685627714897,9.73786005204732,2.07885867322043e-22,9.28556874038459e-21
"ENSG00000154640",2208.65427752646,0.467644173290848,0.0571475229950251,8.1831048623325,2.76622242477937e-16,7.41347609840872e-15
"ENSG00000182240",19952.6616201169,0.440655386983336,0.0537597513721338,8.19675269576765,2.46967802099649e-16,7.41347609840872e-15
"ENSG00000142197",440.873003935104,-0.896267905675101,0.116744493229663,-7.67717500740648,1.62635180384511e-14,3.63218569525409e-13
"ENSG00000159228",3132.68685712185,-0.402156146826861,0.0529792555484068,-7.59082291104323,3.17880151272214e-14,6.08513432435381e-13
"ENSG00000154736",39.0666429751493,-3.27502617913164,0.437907091567927,-7.47881512355829,7.49956871284119e-14,1.2561777594009e-12
"ENSG00000160223",1907.49452570894,-0.436956910126249,0.0696749950220588,-6.27135904333987,3.57910224788967e-10,5.32888556908017e-09
"ENSG00000154734",472.588479400919,-0.779954073840078,0.126606903622344,-6.16043874010696,7.25436746429789e-10,9.72085240215918e-09
"ENSG00000142182",286.157923066118,-0.924439059866541,0.151140103579306,-6.11643791405418,9.56901429281047e-10,1.16567992294237e-08
"ENSG00000180530",4300.17098824268,-0.362674365520574,0.0595412603955044,-6.09114357189451,1.12106951682989e-09,1.25186096046004e-08
"ENSG00000166979",1386.86367804106,0.432246170213034,0.0750565839710839,5.75893742219283,8.46450725759932e-09,8.72495363475623e-08
"ENSG00000142207",4477.70824425611,0.356445570015125,0.0652864057938629,5.45972114226315,4.76883005569514e-08,4.56445162473678e-07
"ENSG00000160200",10075.7925748188,-0.268887717938511,0.0517811434549467,-5.19277288985445,2.07184863520213e-07,1.85085144744723e-06
"ENSG00000198618",4425.42059834247,0.358348791783645,0.0694233004145939,5.16179423397616,2.44594063859118e-07,2.04847528482011e-06
"ENSG00000142192",20095.7778527311,0.16644123391615,0.0402378438397804,4.13643520708734,3.52742895497934e-05,0.000278044399980724
"ENSG00000241945",4693.93091943206,-0.266961755357721,0.0660354958668672,-4.04270085131089,5.28390166022805e-05,0.000393357123594755
"ENSG00000183255",5417.3503651749,0.227774204166158,0.0576738189592987,3.94935185975637,7.83630904068583e-05,0.000552666006027316
"ENSG00000197381",4899.84594289622,-0.34479884314703,0.0897557156696179,-3.84152519507728,0.000122272182615201,0.000819223623521846
"ENSG00000160191",181.859263071142,0.687225820031656,0.179975942714055,3.81843156184222,0.000134302830827144,0.00081985586590421
"ENSG00000160299",4874.94764492786,-0.224959479447796,0.0589226119812844,-3.81788029898013,0.00013460320186487,0.00081985586590421
"ENSG00000198743",2783.53650006744,-0.348373988915873,0.0929299002457987,-3.74878255539312,0.000177695064375521,0.00103526689679651
"ENSG00000156256",2949.55731991173,-0.244947551543551,0.0659475748107208,-3.71427686683833,0.000203785588413139,0.00113780286864003
"ENSG00000156273",1788.77493074753,0.22765407779438,0.0618985893057933,3.67785567244056,0.000235202976327977,0.00126068795311795
"ENSG00000205670",866.513567089645,-0.28575202123435,0.0803987533559966,-3.55418472683367,0.000379152798381091,0.00195409519165639
"ENSG00000154727",2771.41701562688,-0.226921298150926,0.064533557637284,-3.51633020801914,0.000437556424130659,0.00217157632716697
"ENSG00000154654",70.2462112763117,1.17172693260797,0.334157644592034,3.50650943221277,0.000454025344697261,0.00217283557819403
"ENSG00000160214",3571.68339649703,-0.258446633908477,0.0755474516094141,-3.42098414179032,0.00062394970394463,0.00288307794236484
"ENSG00000185437",57.0603498516571,1.31948827487826,0.389579480690829,3.38695526914931,0.000706729095182492,0.00315672329181513
"ENSG00000159216",1151.37882022262,0.386651560168578,0.116467310356283,3.31982904890462,0.000900725861741555,0.0038858138539497
"ENSG00000160199",1084.75492241925,0.314607270293156,0.0950043145255009,3.31150508126354,0.000927955547211869,0.0038858138539497
"ENSG00000184900",5997.40139032465,-0.168985720612408,0.0519625612103915,-3.25206680879722,0.00114569088832242,0.00465219936470318
"ENSG00000205581",16665.6882927739,-0.140299867500311,0.0432748640366776,-3.24206373892707,0.00118667478809346,0.00467689475307421
"ENSG00000160221",3850.25531253644,-0.155272325857354,0.050053102076765,-3.10215190297732,0.0019211934734273,0.00735542644112165
"ENSG00000160285",3676.94283155265,0.274871644750194,0.0889129045727126,3.09147076086582,0.00199167596375334,0.00741346053174855
"ENSG00000183486",12.4731793976147,2.41979622630751,0.796048434743503,3.03976004561482,0.00236766704125947,0.00857479414942618
"ENSG00000154639",4450.35925478489,-0.145446644182797,0.0496413139296006,-2.92995153974096,0.00339014868982052,0.0119547348535776
"ENSG00000142178",22152.3941108059,0.215811576955346,0.0748167690320555,2.88453484088414,0.0039199238074688,0.0134684561589954
"ENSG00000156253",1015.09479256698,-0.215504054259045,0.0761311688855619,-2.83069414818764,0.00464471124950199,0.0155597826858317
"ENSG00000156261",23427.0376981863,0.114231812628718,0.0406087920256265,2.81298228611753,0.0049084355027378,0.0157022982856216
"ENSG00000243927",2237.30679742283,-0.204637654276166,0.0727698903323077,-2.81211986635787,0.00492161588056795,0.0157022982856216
"ENSG00000159110",1575.25132949538,0.195187008832755,0.0705088201416478,2.76826372134204,0.00563558327697471,0.0174285349230656
